,roi,weight,network,weight_th
0,7Networks_LH_Vis_1,-0.8832806169513315,Vis,0
1,7Networks_LH_Vis_2,-1.222774915178685,Vis,0
2,7Networks_LH_Vis_3,-2.1092705891561274,Vis,0
3,7Networks_LH_Vis_4,-1.996164472009142,Vis,0
4,7Networks_LH_Vis_5,-2.5186757320051756,Vis,0
5,7Networks_LH_Vis_6,-1.4766784791706145,Vis,0
6,7Networks_LH_Vis_7,-1.5915234435028978,Vis,0
7,7Networks_LH_Vis_8,-1.4748645893644377,Vis,0
8,7Networks_LH_Vis_9,-2.222399423425869,Vis,0
9,7Networks_LH_Vis_10,-1.6597234935032754,Vis,0
10,7Networks_LH_Vis_11,-0.8743469532628797,Vis,0
11,7Networks_LH_Vis_12,2.2260071698504333,Vis,0
12,7Networks_LH_Vis_13,-1.3143972221783877,Vis,0
13,7Networks_LH_Vis_14,0.5228180801346628,Vis,0
14,7Networks_LH_Vis_15,-2.3237330368738855,Vis,0
15,7Networks_LH_Vis_16,-1.512185002560697,Vis,0
16,7Networks_LH_Vis_17,-0.49015863627128387,Vis,0
17,7Networks_LH_Vis_18,-1.3858958038577482,Vis,0
18,7Networks_LH_Vis_19,-0.9764731593099212,Vis,0
19,7Networks_LH_Vis_20,-3.0744177351170894,Vis,1
20,7Networks_LH_Vis_21,-2.768405327754334,Vis,0
21,7Networks_LH_Vis_22,-1.5381569414161538,Vis,0
22,7Networks_LH_Vis_23,-0.9968742101710331,Vis,0
23,7Networks_LH_Vis_24,-1.3153411227282679,Vis,0
24,7Networks_LH_Vis_25,-1.201607311071146,Vis,0
25,7Networks_LH_Vis_26,0.2309925282543694,Vis,0
26,7Networks_LH_Vis_27,-2.340435419377549,Vis,0
27,7Networks_LH_Vis_28,0.15665714203370376,Vis,0
28,7Networks_LH_Vis_29,-0.548787468487656,Vis,0
29,7Networks_LH_Vis_30,-1.4637291314028993,Vis,0
30,7Networks_LH_Vis_31,0.2736458611073011,Vis,0
31,7Networks_LH_SomMot_1,0.7443131569265417,SomMot,0
32,7Networks_LH_SomMot_2,1.395037302458617,SomMot,0
33,7Networks_LH_SomMot_3,3.714021564842801,SomMot,1
34,7Networks_LH_SomMot_4,0.8069677146658192,SomMot,0
35,7Networks_LH_SomMot_5,1.7849087696344579,SomMot,0
36,7Networks_LH_SomMot_6,0.8536038998876059,SomMot,0
37,7Networks_LH_SomMot_7,2.5425759579800546,SomMot,0
38,7Networks_LH_SomMot_8,1.3402156843003552,SomMot,0
39,7Networks_LH_SomMot_9,2.389183275456492,SomMot,0
40,7Networks_LH_SomMot_10,1.1849010500118382,SomMot,0
41,7Networks_LH_SomMot_11,0.7167835061563,SomMot,0
42,7Networks_LH_SomMot_12,1.930079848965364,SomMot,0
43,7Networks_LH_SomMot_13,2.90821172443393,SomMot,0
44,7Networks_LH_SomMot_14,3.606740680959316,SomMot,1
45,7Networks_LH_SomMot_15,2.3608908475021946,SomMot,0
46,7Networks_LH_SomMot_16,2.608265032138462,SomMot,0
47,7Networks_LH_SomMot_17,3.6380722044567015,SomMot,1
48,7Networks_LH_SomMot_18,2.3087056900933547,SomMot,0
49,7Networks_LH_SomMot_19,0.07650473412062127,SomMot,0
50,7Networks_LH_SomMot_20,2.568870302782689,SomMot,0
51,7Networks_LH_SomMot_21,3.656301525847947,SomMot,1
52,7Networks_LH_SomMot_22,2.6347316322314445,SomMot,0
53,7Networks_LH_SomMot_23,0.8748073711041131,SomMot,0
54,7Networks_LH_SomMot_24,3.042640945176172,SomMot,1
55,7Networks_LH_SomMot_25,2.386183691812126,SomMot,0
56,7Networks_LH_SomMot_26,1.7053418194943872,SomMot,0
57,7Networks_LH_SomMot_27,2.6096916320417134,SomMot,0
58,7Networks_LH_SomMot_28,2.699664553822294,SomMot,0
59,7Networks_LH_SomMot_29,4.058055895134493,SomMot,1
60,7Networks_LH_SomMot_30,-1.2356290444355802,SomMot,0
61,7Networks_LH_SomMot_31,0.7680401602831833,SomMot,0
62,7Networks_LH_SomMot_32,3.0275117918141796,SomMot,1
63,7Networks_LH_SomMot_33,4.200216993148798,SomMot,1
64,7Networks_LH_SomMot_34,1.871001224505051,SomMot,0
65,7Networks_LH_SomMot_35,2.943752401072953,SomMot,0
66,7Networks_LH_SomMot_36,4.076422002590493,SomMot,1
67,7Networks_LH_SomMot_37,1.1783031438566562,SomMot,0
68,7Networks_LH_DorsAttn_Post_1,-0.2806748328530793,DorsAttn,0
69,7Networks_LH_DorsAttn_Post_2,-2.188877574008943,DorsAttn,0
